label,extracted_symptoms,symptom_tokens
Psoriasis,dry scaly patches itchy rash skin rash,"['dry', 'scaly', 'patches', 'itchy', 'rash', 'skin', 'rash']"
Psoriasis,peeling stinging sensation,"['peeling', 'stinging', 'sensation']"
Psoriasis,joint pain pain,"['joint', 'pain', 'pain']"
Psoriasis,silver like dusting,"['silver', 'like', 'dusting']"
Psoriasis,deep cracks,"['deep', 'cracks']"
Psoriasis,itchy,['itchy']
Psoriasis,joint pain pain peeling skin rash,"['joint', 'pain', 'pain', 'peeling', 'skin', 'rash']"
Psoriasis,fatigue malaise,"['fatigue', 'malaise']"
Psoriasis,itchy peeling rash,"['itchy', 'peeling', 'rash']"
Psoriasis,rash,['rash']
Psoriasis,itching rash,"['itching', 'rash']"
Psoriasis,pain prone to infections,"['pain', 'prone', 'to', 'infections']"
Psoriasis,peeling,['peeling']
Psoriasis,pain peeling,"['pain', 'peeling']"
Psoriasis,pain silver like dusting,"['pain', 'silver', 'like', 'dusting']"
Psoriasis,pain rash skin rash,"['pain', 'rash', 'skin', 'rash']"
Psoriasis,pain,['pain']
Psoriasis,joint pain pain peeling rash skin rash,"['joint', 'pain', 'pain', 'peeling', 'rash', 'skin', 'rash']"
Psoriasis,itching pain rash,"['itching', 'pain', 'rash']"
Psoriasis,prone to infections,"['prone', 'to', 'infections']"
Psoriasis,rash skin flaking skin rash,"['rash', 'skin', 'flaking', 'skin', 'rash']"
Psoriasis,joint pain pain rash skin rash,"['joint', 'pain', 'pain', 'rash', 'skin', 'rash']"
Psoriasis,itching pain peeling rash,"['itching', 'pain', 'peeling', 'rash']"
Psoriasis,burning sensation peeling,"['burning', 'sensation', 'peeling']"
Varicose Veins,fatigue prominent veins rash,"['fatigue', 'prominent', 'veins', 'rash']"
Varicose Veins,bruising,['bruising']
Varicose Veins,cramps pain,"['cramps', 'pain']"
Varicose Veins,cramps fatigue obesity,"['cramps', 'fatigue', 'obesity']"
Varicose Veins,swelling,['swelling']
Varicose Veins,cramps,['cramps']
Varicose Veins,pain,['pain']
Varicose Veins,rash,['rash']
Varicose Veins,cramps itchy,"['cramps', 'itchy']"
Varicose Veins,itchy,['itchy']
Varicose Veins,itchy rash,"['itchy', 'rash']"
Varicose Veins,fatigue,['fatigue']
Varicose Veins,prominent veins,"['prominent', 'veins']"
Varicose Veins,pain rash,"['pain', 'rash']"
Varicose Veins,cramps obesity,"['cramps', 'obesity']"
Typhoid,belly pain chills constipation fever pain,"['belly', 'pain', 'chills', 'constipation', 'fever', 'pain']"
Typhoid,abdominal cramps bloating cramps diarrhea,"['abdominal', 'cramps', 'bloating', 'cramps', 'diarrhea']"
Typhoid,abdominal pain chills fever pain,"['abdominal', 'pain', 'chills', 'fever', 'pain']"
Typhoid,constipation diarrhea fever headache vomiting,"['constipation', 'diarrhea', 'fever', 'headache', 'vomiting']"
Typhoid,belly pain fever headache nausea pain vomiting,"['belly', 'pain', 'fever', 'headache', 'nausea', 'pain', 'vomiting']"
Typhoid,fatigue pain,"['fatigue', 'pain']"
Typhoid,constipation diarrhea headache,"['constipation', 'diarrhea', 'headache']"
Typhoid,constipation diarrhea fever headache high fever,"['constipation', 'diarrhea', 'fever', 'headache', 'high', 'fever']"
Typhoid,belly pain difficulty breathing pain,"['belly', 'pain', 'difficulty', 'breathing', 'pain']"
Typhoid,abdominal pain diarrhea pain vomiting,"['abdominal', 'pain', 'diarrhea', 'pain', 'vomiting']"
Typhoid,chills fever headache high fever pain,"['chills', 'fever', 'headache', 'high', 'fever', 'pain']"
Typhoid,constipation diarrhea pain,"['constipation', 'diarrhea', 'pain']"
Typhoid,belly pain constipation pain,"['belly', 'pain', 'constipation', 'pain']"
Typhoid,abdominal pain constipation pain vomiting,"['abdominal', 'pain', 'constipation', 'pain', 'vomiting']"
Typhoid,bloating constipation pain,"['bloating', 'constipation', 'pain']"
